grid_id,1st_bus_stop,1st_stop_id,1st_dist_m,2nd_bus_stop,2nd_stop_id,2nd_dist_m,3rd_bus_stop,3rd_stop_id,3rd_dist_m,tmap_success,walk_time_min,walk_dist_m
마마3281, 임고면사무소,570533.0,359.3, 임고면사무소건너,570399.0,370.4, 임고서원,570367.0,674.7,N_PathError,,
마마3282, 선원2리,571747.0,352.6, 선원2리(임고방면),570527.0,414.8, 선원2리(자양방면),571682.0,414.8,N_PathError,,
마마3083, 신호2리(영천방면),570559.0,334.8, 신호1리(영천방면),570561.0,559.7, 도림2동(영천방면),570583.0,743.9,N_PathError,,
마마3183, 도림2동(영천방면),570583.0,831.6, 신호2리(영천방면),570559.0,1038.3, 선원2리.선정사입구,570528.0,1044.7,N_PathError,,
마마3283, 선원2리.선정사입구,571745.0,224.1, 선원2리.선정사입구,570528.0,224.1, 대환교,571746.0,570.1,N_PathError,,
마마3084, 죽곡1리마을회관건너,570552.0,122.5, 죽곡1리마을회관앞,570558.0,127.5, 극락사입구건너,570553.0,395.2,N_PathError,,
마마3184, 죽곡1리삼거리(죽곡방면),570554.0,639.2, 극락사입구건너,570553.0,704.4, 극락사입구,570557.0,714.9,N_PathError,,
마마3481, 양평리.돌빼기(임고방면),570364.0,453.2, 황강리(수성방면),570315.0,469.1, 황강리(임고방면),570363.0,483.3,N_PathError,,
마마3381, 양평2리마을회관,571740.0,67.1, 양평2리마을회관,571741.0,73.3, 양평2리.임고중학교앞,570365.0,192.0,N_PathError,,
마마3582, 효1리(수성방면),570317.0,129.9, 효1리(임고방면),570361.0,129.9, 효1리마을회관앞,570360.0,450.5,N_PathError,,
마마3482, 황강리(임고방면),570363.0,524.2, 황강리(수성방면),570315.0,534.7, 황강공단(임고방면),570362.0,580.8,N_PathError,,
마마3382, 주식회사 명산,571739.0,200.9, 주식회사 명산,571738.0,239.2, 평천2리,571742.0,254.9,N_PathError,,
마마3383, 평천리다산마을(농산물집하장),571547.0,138.2, 평천리.다산(임고방면),570525.0,275.4, 평천리다산마을(농산물집하장),571743.0,296.4,N_PathError,,
마마3583, 효1리마을회관앞,570360.0,794.6, 효1리마을회관건너,570318.0,803.8, 평천2리,571548.0,843.3,N_PathError,,
마마3483, 평천2리,571548.0,166.5, 덕연리강변공원건너,570523.0,918.0, 평천리(자양방면),570403.0,926.4,N_PathError,,
마마3584, 삼매1리(자양방면),570406.0,554.9, 삼매1리(임고방면),570510.0,564.6, 삼매리경로당앞,570512.0,789.4,N_PathError,,
마마3484, 덕연리창고앞(임고방면),570511.0,122.8, 덕연리창고앞(자양방면),570405.0,122.8, 덕연리강변공원,570404.0,299.2,N_PathError,,
마마2781, 매산2동,570950.0,527.1, 매산1동,570949.0,833.2, 하명마을(영천방면),570951.0,1167.2,Y,17.3,1341
마마2581, 모산(당지방면),570958.0,595.6, 모산(영천방면),570932.0,631.8, 암기(영천방면),570939.0,643.9,N_PathError,,
마마2582, 독조골(당지방면),571584.0,230.9, 독조골(영천방면),571585.0,247.5, 시안미술관,570959.0,406.8,N_PathError,,
마마2682, 대천2리(영천방면),570577.0,1061.7, 대천2리(화남방면),570566.0,1061.7, 대천1리(화남방면),570565.0,1088.4,N_PathError,,
마마2782, 매산1동(영천방면),570582.0,675.8, 화남분교,570564.0,810.8, 사천교회,570579.0,815.2,Y,25.1,1940
마마2583, 선천2리.화동(영천방면),570575.0,840.2, 대성사입구,570567.0,861.5, 가상리창고,570960.0,886.9,N_PathError,,
마마2683, 대성사입구건너,570576.0,320.3, 대천2리(영천방면),570577.0,336.8, 대천2리(화남방면),570566.0,336.8,N_PathError,,
마마2783, 대천리(노방방면),571601.0,196.7, 사천교회,570579.0,304.2, 노방.우사앞(대천방면),570969.0,311.8,Y,4.8,366
마마2584, 선천3리.유천(화남방면),570571.0,273.7, 선천3리,570573.0,273.7, 선천2리,570570.0,317.3,N_PathError,,
마마2684, 선천2리.화동(화남방면),570568.0,589.1, 선천2리.화동(영천방면),570575.0,612.4, 대성사입구,570567.0,694.3,N_PathError,,
마마3778, 삼사낚시터앞,570255.0,832.2, 신농농원건너,570256.0,836.3, 삼사낚시터건너,570249.0,849.6,N_PathError,,
마마3878, 해선리(88찜질방),570145.0,895.3, 해선리(88찜질방건너),570165.0,912.7, 고경삼거리.상리입구(고경방면),570144.0,1019.6,N_PathError,,
마마3678, 서원농원건너,570245.0,520.2, 도암리.땀봉(고경방면),570141.0,522.5, 도암리.땀봉(영천방면),570170.0,536.0,N_PathError,,
마마3879, 해선리(88찜질방),570145.0,202.8, 해선리(88찜질방건너),570165.0,287.5, 고경삼거리.상리입구(영천방면),570166.0,354.3,N_PathError,,
마마3779, 상리공단,570167.0,315.4, 도암2리(영천방면),570168.0,431.9, 도암2리(고경방면),570143.0,431.9,N_PathError,,
마마3679, 도암2리(영남건설기술교육원),570169.0,265.8, 도암2리(영남건설기술교육원건너),570142.0,312.1, 도암2리(고경방면),570143.0,573.2,N_PathError,,
마마3680, 도암1리.도암교회,570171.0,465.9, 고천(우항방면),570233.0,1138.4, 도암2리(고경방면),570143.0,1195.3,N_PathError,,
마마3880, 상리리.새마을(학리방면),570268.0,116.7, 상리리.새마을(영천방면),570269.0,154.0, 상리리.고경교차로(영천방면),570270.0,296.9,N_PathError,,
마마3978, 전사사격장(삼귀방면),571649.0,570.0, 전사사격장(영천방면),571648.0,587.3, 전사2리(영천방면),570282.0,832.7,N_PathError,,
마마3979, 고경정류장,570146.0,174.4, 고경파출소앞,570164.0,174.4, 해선리(용내기입구),570147.0,247.0,N_PathError,,
마마4079, 전사1리(용태철망앞),570283.0,580.4, 전사1리(용태철망건너),570271.0,580.4, 전사2리(영천방면),570282.0,591.0,N_PathError,,
마마3980, 배골리주택앞(학리방면),570262.0,490.8, 배골리우사앞(영천방면),570267.0,507.3, 배골리주택앞(영천방면),570266.0,517.1,N_PathError,,
마마4080, 학리삼거리(학리방면),570263.0,1117.9, 해선리(목동),570163.0,1124.3, 해선리(용내기입구),570147.0,1167.2,N_PathError,,
마마3981, 학리삼거리(영천방면),570265.0,241.3, 학리,570264.0,325.8, 학리삼거리(학리방면),570263.0,334.7,N_PathError,,
마마4280, 가수1리,570159.0,1016.2, 가수2리,570158.0,1028.1, 가수리,570151.0,1060.3,N_PathError,,
마마4182, 착골(우봉골방면),571543.0,545.1, 착골(영천방면),571545.0,560.2, 착골경로당(우봉골방면),571542.0,637.5,N_PathError,,
마마4282, 우봉골,571544.0,385.7, 착골(영천방면),571545.0,1100.4, 착골(우봉골방면),571543.0,1106.3,N_PathError,,
마마4283, 사2리.감나무골(수성방면),570332.0,717.0, 사2리.감나무골(임고방면),570346.0,787.0, 사2리회관건너,570347.0,845.9,N_PathError,,
마마4383, 사2리.감나무골(임고방면),570346.0,1119.7, 사2리.감나무골(수성방면),570332.0,1120.8, 사2리회관건너,570347.0,1324.7,N_PathError,,
마마3881, 배골리우사앞(학리방면),570261.0,789.8, 상리리.새마을(영천방면),570269.0,846.2, 상리리.새마을(학리방면),570268.0,884.2,N_PathError,,
마마3682, 효리(골프장입구),570359.0,298.6, 효리(골프장건너),570319.0,298.6, 효1리마을회관건너,570318.0,703.1,N_PathError,,
마마3783, 금대리과수원(임고방면),571618.0,454.1, 금대리과수원(수성방면),571617.0,454.6, 금대리새터(임고방면),570356.0,619.9,N_PathError,,
마마3683, 효2리(임고방면),570358.0,221.2, 효2리(수성방면),570320.0,237.8, 효2리경로당건너,570321.0,384.7,N_PathError,,
마마3784, 금대리새터(수성방면),570322.0,333.5, 금대리새터(임고방면),570356.0,436.5, 금대리과수원(수성방면),571617.0,546.1,N_PathError,,
마마3684, 삼매3리(벌바위입구건너),570407.0,919.3, 삼매3리(벌바위입구),570496.0,948.2, 임고IC(임고방면),571619.0,1004.5,N_PathError,,
