grid_id,target_bus_stop,target_stop_id,euclid_dist_m,final_walk_dist_m,calc_method,elderly_walk_time_min
마마3272, 조암마을,571357.0,236.8,480.0,Detour_Model_2.027,11.4
마마3372, 송포2리입구(송포방면),571675.0,330.8,670.5,Detour_Model_2.027,16.0
마마3273, 범어동,571339.0,260.5,528.0,Detour_Model_2.027,12.6
마마2571, 냉천1리마을회관 건너,710687.0,485.3,983.7,Detour_Model_2.027,23.4
마마2671, 신월리입구(금호방면),571278.0,109.6,222.2,Detour_Model_2.027,5.3
마마2772, 봉죽1리,571570.0,477.9,968.7,Detour_Model_2.027,23.1
마마2572, KC피드,570120.0,340.2,689.6,Detour_Model_2.027,16.4
마마2672, 윤성아파트앞,570106.0,270.6,548.5,Detour_Model_2.027,13.1
마마2573, 석섬경로당,571221.0,25.1,50.9,Detour_Model_2.027,1.2
마마2673, 효사랑요양병원,570123.0,306.8,621.9,Detour_Model_2.027,14.8
마마2574, 대미2리(영천방면),571209.0,412.5,836.1,Detour_Model_2.027,19.9
마마3564, 용계리.새불(영천방면),571389.0,304.3,616.8,Detour_Model_2.027,14.7
마마3565, 들말(상리방면),571392.0,319.4,647.4,Detour_Model_2.027,15.4
마마3465, 명주마을(명주교회앞),571388.0,627.9,1272.8,Detour_Model_2.027,30.3
마마3566, 신대리(영천방면),571396.0,405.0,820.9,Detour_Model_2.027,19.5
마마3567, 옥천리(영천방면),571417.0,139.9,283.6,Detour_Model_2.027,6.8
마마3568, 고지1리.마야요양원(북안방면),571367.0,924.0,1872.9,Detour_Model_2.027,44.6
마마3469, 유상2리마을회관,571349.0,1321.2,2678.1,Detour_Model_2.027,63.8
마마3668, 고지1리(영천방면),571418.0,42.9,87.0,Detour_Model_2.027,2.1
마마3768, 만불사건너,571422.0,428.9,869.4,Detour_Model_2.027,20.7
마마3868, 만불사입구,571433.0,412.2,835.5,Detour_Model_2.027,19.9
마마3669, 고지주유소건너,571437.0,264.9,537.0,Detour_Model_2.027,12.8
마마3769, 고지2리(북안방면),571434.0,621.1,1259.0,Detour_Model_2.027,30.0
마마3869, 고지1리.마야요양원(영천방면),571419.0,411.3,833.7,Detour_Model_2.027,19.8
마마3670, 임포정류장 앞,571439.0,511.6,1037.0,Detour_Model_2.027,24.7
마마3770, 돌할배입구(신촌방면),571452.0,452.8,917.8,Detour_Model_2.027,21.9
마마3870, 구인사(북안방면),571651.0,199.6,404.6,Detour_Model_2.027,9.6
마마3671, 내포1반(영천방면),571455.0,66.9,135.6,Detour_Model_2.027,3.2
마마3969, 절골입구(북안방면),571655.0,615.5,1247.6,Detour_Model_2.027,29.7
마마4070, 신촌,571530.0,764.9,1550.5,Detour_Model_2.027,36.9
마마3970, 신촌,571530.0,60.4,122.4,Detour_Model_2.027,2.9
마마3569, 북안면사무소건너,571438.0,737.9,1495.7,Detour_Model_2.027,35.6
마마3470, 자포입구(영천방면),571461.0,1100.4,2230.5,Detour_Model_2.027,53.1
마마3570, 파라다이스모텔,571361.0,230.6,467.4,Detour_Model_2.027,11.1
마마3571, 반정3리(경반마을건너),571443.0,83.7,169.7,Detour_Model_2.027,4.0
마마3471, 반정1리(임포방면),571464.0,130.2,263.9,Detour_Model_2.027,6.3
마마3472, 반정1리입구마을,571541.0,643.8,1305.0,Detour_Model_2.027,31.1
마마3574, 거곡로.대성양달(영천방면),570214.0,450.8,913.8,Detour_Model_2.027,21.8
마마4172, 삼귀.용내기,570277.0,941.1,1907.6,Detour_Model_2.027,45.4
마마3972, 돌할매.관리,571449.0,388.5,787.5,Detour_Model_2.027,18.8
마마4173, 삼귀.용내기,570277.0,504.5,1022.6,Detour_Model_2.027,24.3
마마4073, 삼귀.용내기,570277.0,617.1,1250.9,Detour_Model_2.027,29.8
마마3771, 자포리.중포(영천방면),571450.0,27.2,55.1,Detour_Model_2.027,1.3
마마3871, 산왕각(돌할매방면),571656.0,823.4,1669.0,Detour_Model_2.027,39.7
마마3872, 돌할매입구(돌할매방면),571658.0,596.4,1208.9,Detour_Model_2.027,28.8
마마3672, 원당,571457.0,170.6,345.8,Detour_Model_2.027,8.2
마마3873, 오류종점,570195.0,813.5,1649.0,Detour_Model_2.027,39.3
마마3774, 태산골.오류리마을회관건너,570192.0,279.5,566.5,Detour_Model_2.027,13.5
마마3874, 오류종점,570195.0,274.3,556.0,Detour_Model_2.027,13.2
마마3674, 오류리.구태골(오류방면),570190.0,586.0,1187.8,Detour_Model_2.027,28.3
마마3775, 오류리.감상골(영천방면),570212.0,616.4,1249.4,Detour_Model_2.027,29.7
마마3675, 오류리.구태골(오류방면),570190.0,663.6,1345.1,Detour_Model_2.027,32.0
마마3676, 엔텍 앞,571643.0,772.3,1565.5,Detour_Model_2.027,37.3
마마3776, 고도2리(영천방면),571680.0,140.4,284.6,Detour_Model_2.027,6.8
마마3777, 용전2리경로당앞,570254.0,184.2,373.4,Detour_Model_2.027,8.9
마마3877, 용전2리.용강마을(용전방면),570253.0,360.4,730.5,Detour_Model_2.027,17.4
마마3677, 용전1리경로당앞,570257.0,465.2,943.0,Detour_Model_2.027,22.5
